classification,location_evidence,cell_index,tree_id,direction_index_zero_based,direction,q_seeder,q_oracle,triangle_aabb_candidate_count,port_boundary_labels,x_m,y_m,z_m
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162406,89560851,7,0 -1 1,1.0,,2,inlet,0.0001049827715790346,5.6776359424537686e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162407,89560868,5,0 0 1,1.0,,1,inlet,0.00010518277157903459,5.717635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162408,89567890,7,0 -1 1,1.0,,1,inlet,0.00010518277157903459,5.737635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162408,89567890,9,0 1 1,1.0,,0,inlet,0.00010518277157903459,5.737635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162409,89567892,5,0 0 1,1.0,,0,inlet,0.00010518277157903459,5.7576359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162409,89567892,9,0 1 1,1.0,,0,inlet,0.00010518277157903459,5.7576359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162410,89567906,5,0 0 1,1.0,,0,inlet,0.00010518277157903459,5.777635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162410,89567906,7,0 -1 1,1.0,,0,inlet,0.00010518277157903459,5.777635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162410,89567906,9,0 1 1,1.0,,2,inlet,0.00010518277157903459,5.777635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162411,89567908,5,0 0 1,1.0,,2,inlet,0.00010518277157903459,5.797635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162411,89567908,7,0 -1 1,1.0,,2,inlet,0.00010518277157903459,5.797635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162412,89568017,5,0 0 1,1.0,,0,inlet,0.0001049827715790346,5.8176359424537686e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162412,89568017,9,0 1 1,1.0,,1,inlet,0.0001049827715790346,5.8176359424537686e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162412,89568017,13,1 0 1,1.0,,2,inlet,0.0001049827715790346,5.8176359424537686e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162413,89568019,5,0 0 1,1.0,,1,inlet,0.0001049827715790346,5.8376359424537684e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162413,89568019,7,0 -1 1,1.0,,1,inlet,0.0001049827715790346,5.8376359424537684e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162414,89568026,5,0 0 1,1.0,,0,inlet,0.00010478277157903459,5.857635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162414,89568026,9,0 1 1,1.0,,2,inlet,0.00010478277157903459,5.857635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162415,89568027,5,0 0 1,1.0,,0,inlet,0.00010458277157903459,5.877635942453769e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,162416,89568849,5,0 0 1,1.0,,0,inlet,0.00010418277157903459,5.8976359424537685e-05,0.00015870639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,181945,135147240,9,0 1 1,1.0,,4,outlet_01,0.0001139827715790346,0.0001531763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,181955,135147295,9,0 1 1,1.0,,2,outlet_01,0.00011418277157903459,0.0001531763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,181963,135147304,9,0 1 1,1.0,,2,outlet_01,0.00011478277157903459,0.0001531763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,181966,135147740,9,0 1 1,1.0,,3,outlet_01,0.0001151827715790346,0.0001531763594245377,0.00016670639894086849
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,181967,135147743,17,1 1 0,1.0,,6,outlet_01,0.0001149827715790346,0.0001531763594245377,0.0001669063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182091,135152343,9,0 1 1,1.0,,4,outlet_01,0.0001137827715790346,0.00015437635942453767,0.00016530639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182093,135152358,12,-1 0 1,1.0,,1,outlet_01,0.0001139827715790346,0.00015457635942453768,0.00016530639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182096,135152368,0,-1 0 0,1.0,,0,outlet_01,0.00011358277157903459,0.00015437635942453767,0.0001657063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182096,135152368,8,0 1 -1,1.0,,3,outlet_01,0.00011358277157903459,0.00015437635942453767,0.0001657063989408685
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182099,135152371,4,0 1 0,1.0,,0,outlet_01,0.0001137827715790346,0.00015437635942453767,0.00016550639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182099,135152371,15,-1 1 0,1.0,,3,outlet_01,0.0001137827715790346,0.00015437635942453767,0.00016550639894086848
SEEDER_ONLY_INTERSECTION,BOUNDARY_CAP_CELL,182119,135152422,3,1 0 0,1.0,,1,outlet_01,0.00011478277157903459,0.00015457635942453768,0.00016530639894086848
